01-01;Gladys
08-02;Karin, Kajsa
08-03;Tage
08-04;Arne, Arnold
08-05;Ulrik, Alrik
08-06;Alfons, Inez
08-07;Dennis, Denise
08-08;Silvia, Sylvia
08-09;Roland
08-10;Lars
08-11;Susanna
08-12;Klara
08-13;Kaj
08-14;Uno
08-15;Stella, Estelle
08-16;Brynolf
08-17;Verner, Valter
08-18;Ellen, Lena
08-19;Magnus, Måns
08-20;Bernhard, Bernt
08-21;Jon, Jonna
08-22;Henrietta, Henrika
08-23;Signe, Signhild
08-24;Bartolomeus
08-25;Lovisa, Louise
08-26;Östen
08-27;Rolf, Raoul
08-28;Fatima, Leila
08-29;Hans, Hampus
08-30;Albert, Albertina
08-31;Arvid, Vidar
09-01;Sam, Samuel
09-02;Justus, Justina
09-03;Alfhild, Alva
09-04;Gisela
09-05;Adela, Heidi
09-06;Lilian, Lilly
09-07;Kevin, Roy
09-08;Alma, Hulda
09-09;Anita, Annette
09-10;Tord, Turid
09-11;Dagny, Helny
09-12;Åsa, Åslög
09-13;Sture
09-14;Ida
09-15;Sigrid, Siri
09-16;Dag, Daga
09-17;Hildegard, Magnhild
09-18;Orvar
09-19;Fredrika
09-20;Elise, Lisa
09-21;Matteus
09-22;Maurits, Moritz
09-23;Tekla, Tea
09-24;Gerhard, Gert
09-25;Tryggve
09-26;Enar, Einar
09-27;Dagmar, Rigmor
09-28;Lennart, Leonard
09-29;Mikael, Mikaela
09-30;Helge
10-01;Ragnar, Ragna
10-02;Ludvig, Love
10-03;Evald, Osvald
10-04;Frans, Frank
10-05;Bror
10-06;Jenny, Jennifer
10-07;Birgitta, Britta
10-08;Nils
10-09;Ingrid, Inger
10-10;Harry, Harriet
10-11;Erling, Jarl
10-12;Valfrid, Manfred
10-13;Berit, Birgit
10-14;Stellan
10-15;Hedvig, Hillevi
10-16;Finn
10-17;Antonia, Toini
10-18;Lukas
10-19;Tore, Tor
10-20;Sibylla
10-21;Ursula, Yrsa
10-22;Marika, Marita
10-23;Severin, Sören
10-24;Evert, Eilert
10-25;Inga, Ingalill
10-26;Amanda, Rasmus
10-27;Sabina
10-28;Simon, Simone
10-29;Viola
10-30;Elsa, Isabella
10-31;Edit, Edgar
11-02;Tobias
11-03;Hubert, Hugo
11-04;Sverker
11-05;Eugen, Eugenia
11-06;Gustav Adolf
11-07;Ingegerd, Ingela
11-08;Vendela
11-09;Teodor, Teodora
11-10;Martin, Martina
11-11;Mårten
11-12;Konrad, Kurt
11-13;Kristian, Krister
11-14;Emil, Emilia
11-15;Leopold
11-16;Vibeke, Viveka
11-17;Naemi, Naima
11-18;Lillemor, Moa
11-19;Elisabet, Lisbet
11-20;Pontus, Marina
11-21;Helga, Olga
11-22;Cecilia, Sissela
11-23;Klemens
11-24;Gudrun, Rune
11-25;Katarina, Katja
11-26;Linus
11-27;Astrid, Asta
11-28;Malte
11-29;Sune
11-30;Andreas, Anders
12-01;Oskar, Ossian
12-02;Beata, Beatrice
12-03;Lydia
12-04;Barbara, Barbro
12-05;Sven
12-06;Nikolaus, Niklas
12-07;Angela, Angelika
12-08;Virginia
12-09;Anna
12-10;Malin, Malena
12-11;Daniel, Daniela
12-12;Alexander, Alexis
12-13;Lucia
12-14;Sten, Sixten
12-15;Gottfrid
12-16;Assar
12-17;Stig
12-18;Abraham
12-19;Isak
12-20;Israel, Moses
12-21;Tomas
12-22;Natanael, Jonatan
12-23;Adam
12-24;Eva
12-26;Stefan, Staffan
12-27;Johannes, Johan
12-28;Benjamin
12-29;Natalia, Natalie
12-30;Abel, Set
12-31;Sylvester
